2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 381, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 814, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 873, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 1661, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 916, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 885, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 1707, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 1737, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:34 INFO  Path:147 - Loď SmallTransportShip{id: 989, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1020, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1809, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1060, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1880, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 47, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1069, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1922, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1014, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 54, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 215, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1117, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1131, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1179, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 142, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1155, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:24:35 INFO  Path:147 - Loď SmallTransportShip{id: 1233, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Headquarters:62 - Spouštím dijkstův algoritmus pro přepočítání tras...
